size, Quicksort, size, Counting sort, size,Shaker sort
10,1.90,10,2.28,10,1.60
100,7.82,100,1.38,100,11.76
500,41.80,500,2.84,500,208.52
1000,83.54,1000,3.90,1000,821.32
5000,532.20,5000,10.06,5000,21155.48
10000,964.78,10000,18.78,10000,95765.18
20000,1881.70,20000,33.46,20000,412279.24
30000,2767.04,30000,49.30,30000,933580.30
,,,,,
10,1.10,10,0.56,10,1.62
100,4.24,100,1.32,100,6.52
500,22.24,500,3.68,500,138.66
1000,41.40,1000,4.78,1000,546.24
5000,207.76,5000,13.62,5000,13360.38
10000,440.02,10000,25.54,10000,53958.46
20000,892.20,20000,49.86,20000,212085.50
30000,1351.26,30000,79.72,30000,478154.88
,,,,,
10,2.22,10,0.56,10,4.38
100,12.50,100,1.40,100,8.50
500,33.22,500,3.02,500,163.16
1000,71.36,1000,4.00,1000,614.92
5000,359.02,5000,11.42,5000,14767.56
10000,772.18,10000,21.24,10000,63303.78
20000,1492.68,20000,39.88,20000,275123.46
30000,1956.50,30000,66.22,30000,560502.22
