size, qavg, size, cavg, size, savg
10,1.6402,10,21856.52,10,4.519800000000001,
100,8.119800000000001,100,27771.160200000002,100,35.2202,
500,50.6802,500,33219.2204,500,1063.2995999999998,
1000,111.71999999999998,1000,29248.900199999996,1000,3338.9602,
5000,696.7798,5000,30761.3,5000,74141.4004,
10000,1387.3602,10000,31186.600199999997,10000,296242.52040000004,
20000,3031.68,20000,30793.7402,20000,1213339.4202,
30000,5358.5802,30000,31032.059999999998,30000,2764510.2795999995,

10,1.1002,10,24850.66,10,2.0799999999999996,
100,5.9196,100,29962.939999999995,100,25.560399999999998,
500,34.56,500,31738.9602,500,612.6196,
1000,75.5,1000,30783.22,1000,2448.82,
5000,479.20040000000006,5000,31982.9994,5000,66268.9,
10000,1047.26,10000,31494.3402,10000,262020.33979999996,
20000,2214.8597999999997,20000,30898.7196,20000,1068909.9801999999,
30000,3383.88,30000,31577.4396,30000,2408299.2804,

10,2.5402,10,20360.86,10,4.7802,
100,9.0398,100,28060.0598,100,29.3402,
500,48.720000000000006,500,31850.2996,500,883.9995999999999,
1000,103.08,1000,31220.560199999996,1000,2755.4996,
5000,630.7202,5000,31499.339799999998,5000,67838.5604,
10000,1372.0395999999998,10000,31553.4,10000,270917.6598,
20000,3326.4,20000,30810.52,20000,1115575.3403999999,
30000,5201.9002,30000,31077.8402,30000,2487729.5604,

