size, qavg, size, cavg, size, savg
10,1.7400000000000002,10,2112.8198,10,3.5799999999999996,
100,8.4398,100,2770.44,100,37.4998,
500,49.8598,500,3248.9004,500,828.0197999999998,
1000,106.88040000000001,1000,2744.7398,1000,3488.9398,
5000,664.9404000000001,5000,2853.7604,5000,71551.6998,
10000,1428.0202000000002,10000,3304.5198000000005,10000,291567.1998,
20000,3023.0199999999995,20000,3049.2006,20000,1203901.8998,
30000,4798.660000000001,30000,3401.0398,30000,2740749.2002,

10,1.0598000000000003,10,2339.46,10,1.94,
100,5.34,100,2762.96,100,25.2394,
500,28.059999999999995,500,3081.3399999999997,500,647.6204,
1000,62.439800000000005,1000,2859.0800000000004,1000,2563.1803999999997,
5000,375.5002,5000,3033.66,5000,65189.719999999994,
10000,806.8997999999999,10000,3146.8602,10000,260406.8394,
20000,1771.6200000000001,20000,3456.2203999999997,20000,1045626.5194,
30000,2777.16,30000,3386.6398,30000,2340729.3998,

10,2.5598,10,9652.820000000002,10,4.2796,
100,7.3,100,2854.4606,100,27.780199999999997,
500,43.200199999999995,500,3153.0,500,637.9602,
1000,87.9596,1000,2922.5598,1000,2698.24,
5000,578.8198,5000,2938.5406,5000,65880.72,
10000,1126.2806,10000,3293.4200000000005,10000,264939.8402,
20000,2490.6398,20000,3256.5397999999996,20000,1071881.5,
30000,4481.4002,30000,3309.4800000000005,30000,2420021.5598,

