size, qseed1, qseed2, qseed3, qseed4, qseed5, qavg, size, cseed1, cseed2, cseed3, cseed4, cseed5, cavg, size, sseed1, sseed2, sseed3, sseed4, sseed5, savg
10,3.7,0.9,0.8,0.9,0.8,1.4200000000000002,10,2.3,0.6,0.6,0.799,0.6,0.9798,10,2.0,2.9,2.001,1.8,1.799,2.1,
100,7.401,6.4,6.6,6.4,6.6,6.680200000000001,100,1.8,1.399,1.3,1.701,1.501,1.5401999999999998,100,14.0,13.101,12.999,12.8,13.1,13.2,
500,36.801,35.399,35.101,36.3,36.399,36.0,500,2.899,2.801,2.9,2.9,2.9,2.88,500,245.5,245.3,236.5,238.3,242.901,241.7002,
1000,73.4,72.301,71.799,74.299,70.701,72.5,1000,3.9,3.9,4.2,3.899,3.9,3.9598,1000,907.3,915.1,877.601,927.299,899.0,905.26,
5000,374.4,378.299,373.701,373.901,383.2,376.70020000000005,5000,10.099,10.5,10.099,10.701,9.9,10.2598,5000,23718.4,25330.0,23049.399,23599.101,23588.7,23857.12,
10000,748.8,753.101,757.499,755.001,764.5,755.7801999999999,10000,18.501,18.0,18.301,18.999,18.099,18.380000000000003,10000,108475.199,109031.0,106358.7,107667.399,108414.6,107989.37959999999,
20000,1563.4,1532.799,1507.701,1532.5,1516.0,1530.48,20000,35.099,34.199,33.799,33.901,34.101,34.219800000000006,20000,463268.0,467341.501,479576.5,466852.8,484832.299,472374.22000000003,
30000,2316.4,2292.7,2308.6,2346.8,2430.2,2338.94,30000,50.801,50.001,49.701,49.699,49.699,49.9802,30000,1067216.8,1052827.499,1073686.401,1098835.399,1133928.9,1085298.9997999999,

10,1.0,0.6,0.6,1.2,2.3,1.1400000000000001,10,0.7,0.6,0.5,0.6,0.5,0.58,10,1.9,1.6,1.5,1.6,2.1,1.7399999999999998,
100,3.801,3.601,3.6,3.9,3.899,3.7602,100,1.399,1.301,1.3,1.501,1.201,1.3404,100,7.5,7.3,7.1,7.5,7.7,7.42,
500,18.599,18.699,18.0,19.3,19.401,18.799799999999998,500,3.701,3.7,3.7,3.6,3.7,3.6802,500,208.0,161.1,156.601,165.6,164.699,171.2,
1000,37.0,36.801,36.599,37.9,35.9,36.84,1000,4.999,5.0,5.2,5.1,4.9,5.0398,1000,671.5,626.5,611.9,642.4,680.0,646.46,
5000,179.201,179.1,180.201,183.7,179.7,180.3804,5000,13.799,13.8,13.8,14.0,13.899,13.8596,5000,15548.0,15733.599,15513.399,21784.8,15934.3,16902.8196,
10000,386.0,363.7,363.7,375.699,363.101,370.44000000000005,10000,26.501,26.1,28.9,26.1,29.9,27.5002,10000,62192.3,62919.5,61122.299,67132.3,64125.0,63498.2798,
20000,745.0,745.8,745.4,763.7,749.6,749.8999999999999,20000,52.1,51.6,54.8,50.4,51.301,52.040200000000006,20000,250259.3,251234.2,251109.3,277238.8,258524.8,257673.28000000003,
30000,1150.999,1158.799,1144.9,1143.701,1136.8,1147.0398,30000,116.1,75.2,85.6,76.7,79.5,86.61999999999999,30000,565575.6,559488.0,570329.801,585986.7,617660.501,579808.1204,

10,7.4,0.701,0.6,0.8,0.8,2.0602000000000005,10,1.1,0.5,0.8,0.5,0.4,0.66,10,14.7,1.799,1.399,1.5,1.6,4.1996,
100,5.401,5.6,5.6,5.7,5.599,5.58,100,1.6,1.3,1.301,1.5,1.4,1.4202000000000001,100,9.0,9.401,9.301,10.099,9.899,9.540000000000001,
500,25.499,29.801,30.2,24.6,27.6,27.54,500,3.6,2.8,3.0,2.999,3.2,3.1198,500,175.7,198.8,209.3,179.901,193.301,191.4004,
1000,41.201,52.4,49.999,61.5,60.7,53.160000000000004,1000,4.499,4.0,3.899,3.701,3.9,3.9997999999999996,1000,870.8,674.1,711.1,762.3,758.4,755.34,
5000,315.6,266.0,244.8,322.599,306.1,291.01980000000003,5000,11.401,11.399,12.401,12.099,11.0,11.66,5000,17575.9,16748.6,16781.899,18166.7,18010.4,17456.699800000002,
10000,635.5,644.3,607.701,549.8,642.9,616.0402,10000,23.6,20.501,24.0,22.4,21.9,22.480200000000004,10000,77130.1,73140.6,77948.5,72384.0,78470.2,75814.68000000001,
20000,1291.5,1244.2,1308.2,1299.1,1219.6,1272.52,20000,44.5,41.799,45.701,39.201,46.8,43.600199999999994,20000,332665.9,301409.299,320754.301,350446.0,340789.4,329212.98,
30000,1791.8,1256.399,1664.2,1903.5,1480.199,1619.2196,30000,71.0,72.501,67.901,59.899,73.3,68.9202,30000,713499.0,571415.0,635042.499,756758.4,654481.301,666239.24,

